;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98315;The $COUNTRY_ADJ$ election has ended, with the leader of the reactionary party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98314;The $COUNTRY_ADJ$ election has ended, with the leader of the fascist party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98313;The $COUNTRY_ADJ$ election has ended, with the leader of the communist party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98312;The $COUNTRY_ADJ$ election has ended, with the leader of the liberal party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98311;The $COUNTRY_ADJ$ election has ended, with the leader of the socialist party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98310;The $COUNTRY_ADJ$ election has ended, with the leader of the conservative party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98305;The $COUNTRY_ADJ$ election is underway, and so far has proceeded smoothly. Debates are being carried out in the usual manner, and there are no reports of violence in $CAPITAL$ or elsewhere. Supporters of the ruling regime have turned out in force, as have the hopefuls seeking to defeat the current government.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98304;With the $COUNTRY_ADJ$ election underway, supporters of the current regime have rallied in $CAPITAL$. They claim that stability is required to deal with the problems facing $COUNTRY$, and are actively trying to shout down opposition. Whether this will mean a victory in the current election is unknown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98303;As the $COUNTRY_ADJ$ election gets underway, it becomes clear it will be a contentious one. The issues are clear and the battle lines between parties drawn, and there are those who believe that while violence may not be the result the toppling of the current $COUNTRY_ADJ$ regime could be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98302;$COUNTRY$ has its share of problems-- and as the current election gets underway, there is a sense among many that the current government is to blame. Justified or not, that anger has instilled a sense that a regime change may be in the offing. Those who previously had never considered voting for any other party than the one in power are now considering doing just that.;;;;;;;;;;;;x,,,,,,,,
EVTDESC98301;As the $COUNTRY_ADJ$ election begins, there is a general sense that things are not going to proceed smoothly. A sense of change is in the air, and while not everyone wants that change it seems there are many who have leapt upon the election as a chance to make it happen. A recent riot in $CAPITAL$ was only barely kept under control, and debates elsewhere in $COUNTRY$ are threatening to erupt into further violence as neither side is willing to budge.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98300;As the $COUNTRY_ADJ$ election begins, the people are all too keenly aware that the nation exists in a state of war. Debates in $CAPITAL$ rage over the state of the war, though the overwhelming feeling is that now more than ever citizens should be supporting the $COUNTRY_ADJ$ government. Still, there are some who believe that now is the perfect time for change.;;;;;;;;;;;;x,,,,,,,
EVTDESC98261;Many Dutch settlers are pushing north of the Kaap Colony into areas only tenuously claimed by our government. We should consider increasing our presence in the region and establishing greater colonial government, before another country comes and claims it instead.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98260;Other European nations are eyeing the region of Namaqualand, directly to the north of our holdings in the Kaap Colony. To forestall their ambitions, it has been recommended that we establish an enclave at Walvis Bay and incorporate it into our southern colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98256;We have received reports from the Kaap Colony that there has been yet another outbreak of violence between the Xhosa natives and the colonials. This time it has been caused by Xhosa and other natives who have gone cattle raiding because of the drought in the region. Many within the Kaap Colony are fed up with the constant conflict with the savages and believe it is time that the military moved in and took over their lands completely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98255;Once again, conflict with the native Xhosa has flared into violence in our Kaap Colony. A band of Xhosa warriors spilled across the border, stealing cattle and burning down a host of Dutch farmsteads. Colonial citizens are demanding that the governor take action.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98250;The Zulus have slaughtered a $COUNTRY_ADJ$ regiment that entered their territory without our authority. While we had not been seeking a war with the Zulus, now our hand is forced. We must either back down and apologize, or see this through to the bitter end.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98249;$FROMCOUNTRY$ has sent negotiators to work out the terms of their surrender. The tone of the talks has been very bitter, and it's clear the $FROMCOUNTRY_ADJ$ government will do all it can to return and trouble us again in the future.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98248;$FROMCOUNTRY$ has sent negotiators to work out the terms of their surrender. The tone is one of reconciliation, and it is clear the $FROMCOUNTRY_ADJ$ wishes to build good relations with us after the business of this war is done.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98247;The Steenkoolers have proven far more resilient than we ever would have thought possible, and now we face the humiliating prospect of surrendering the Kaap Colony to them. It seems we have little choice, with the war going so badly and Kaapstad already occupied. All we can do is decide whether we will pursue a conciliatory path with the Steenkoolers and perhaps make them future allies or aim at returning in the future and reclaiming what has been lost.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98246;The $FROMCOUNTRY_ADJ$ have gone to war with the Obervahl, and many Steenkoolers are fearful that $COUNTRY$ will surely be next. They are crying out to our government to ally with the Obervahlis and stop the $FROMCOUNTRY_ADJ$ from taking away their lands and their rights.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98245;Our colonial governor in South Africa declared an annexation of the Obervahl via special warrant several years ago, one that the Steenkoolers have stubbornly resisted. Both Obervahl and the Tusstrom have considerable resources which would be of value to $COUNTRY$, and we must consider the idea that keeping them out of the hands of competitors for African dominance is just as much reason to annex them as using those resources for our ourselves. The Steenkooler resistance has proven embarrasing. If we do not answer this with force, it will make the $COUNTRY_ADJ$ look weak to the world.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98241;We have been approached by $FROMCOUNTRY_ADJ$ diplomats desperate for help in their war. Though they are loathe to do so, they are asking for $COUNTRY_ADJ$ protection. If we provide it, it does mean we establish an excellent claim over their territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98240;The time has come to consider joining Stellaland. ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98236;Gold has been discovered in the Olbers province, leading to claims from both the Obervahler and Tusstrommer governments that the region rightfully belongs to them. Mediation by the colonial government has led to Olbers being awarded to the griquas, who have subsequently consented to annexation by $COUNTRY$. This has led to considerable bad blood between the Steenkooler and $COUNTRY_ADJ$ governments.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98235;Migrants have been moving in large numbers through our African colonies on their way to the newly incorporated town of 'Paulrugen', on the edge of the Wiessufer mountains, where a major gold rush is taking place. The massive influx of foreign residents to the area is causing trouble along our borders and friction between our governments.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98230;$FROMCOUNTRY_ADJ$ colonial authorities have met with the $COUNTRY_ADJ$ government to determine the requirements for our independence. They wish to see $FROMCOUNTRY_ADJ$ influence in $COUNTRY$ remain strong, and would see us abandon any laws allowing slavery or the 'unethical' treatment of foreigners working in our territory ('uitlanders', as they are called). While our independence is a foregone conclusion, we must decide just how much we abide by their demands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98225;With 'the Great Trek' underway, many of the Steenkoolers are eager to leave $PROVINCENAME$ behind and travel to either the Obervahl or the Tusstrom where they feel they will be free to pursue their own interests.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98221;We have endured the presence of the Steenkoolers, colonists who resent the Dutch and who have been trekking north to avoid their rule, for several decades now. We even thought it was possible to co-exist peacefully. After a number of skirmishes, all ending with our defeat at the hands of their firearms, they have taken over our land in the Obervahl and declared it their own. This is an outrage... yet what can we do?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC98220;The Steenkoolers have been slowly trekking north from the Kaap Colony into areas normally claimed by the Ndebele. After a number of skirmishes with natives, they have come to dominate the Obervahl and established a new colony, one that is still technically under $COUNTRY_ADJ$ jurisdiction.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98216;We have endured the presence of the Steenkoolers, colonists who resent the Dutch and who have been trekking north to avoid their rule, for several decades now. We even thought it was possible to co-exist peacefully. After a number of skirmishes, all ending with our defeat at the hands of their firearms, they have taken over our land in the Heeckeren Valley and declared it their own. This is an outrage... yet what can we do?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC98215;The Steenkoolers have been slowly trekking north from the Kaap Colony into areas nominally claimed by the Basotho. After a number of skirmishes with the natives, they have come to dominate the Heeckeren River valley and established a new colony, one that is still technically under $COUNTRY_ADJ$ jurisdiction.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98213;We have received word from the Natalian government defying our annexation. Now we must either go to war or stand down in humiliation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98212;After a series of altercations between Dutch colonial forces and the Steenkooler militia, we have received a demand from the Dutch government that Natalia be annexed into the Kaap Colony. For all our struggles to leave the Dutch behind, they yet follow us and refuse to allow us independence! So now we are faced with a choice: submit and move on, to find a place beyond their reach once more, or defy them and risk war.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC98211;After a series of altercations between Dutch colonial forces and the Steenkooler militia, the Dutch crown has decided to cut its losses and allow Natal its independence. Finally we will control our own destiny, away from the Dutch now and forever!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98210;The Steenkoolers of Natalia are once again chafing under Dutch rule, resenting the idea that even though they left the Kaap Colony they have not escaped the Dutch crown. There have been several altercations with Dutch military foces, and the recommendation of the colonial government is that Natal be annexed before the situation grows worse. If we do not, then we must allow the Steenkoolers to find their own way, and suffer the loss to our prestige this would entail.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98207;The Steenkoolers which have trekked eastward into Zulu lands have reached a surprising settlement with the natives: they have staked out permanent borders for their new colony, and done so in relative peace. The real question remains whether we will allow this new Natalia Republic to stand. The Steenkoolers are Dutch subjects, after all, and their existence will no doubt draw more Steenkoolers to their side... perhaps providing a threat to our African ambitions.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98206;The Steenkooler encroachment into Zulu lands has provoked a reaction: the Battle of Blood River, prompted by the massacre of Johann Averbeck and his fellow pioneers after they attempted to negotiate borders for the new Natal settlement. The Vorausers won a decisive victory at the battle, and have now carved out a new colony, with the only question remaining whether the Dutch will recognize their independence or continue to treat them as subjects of the crown. Either way, further conflict seems certain.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98205;The Steenkoolers are eager to get away from Dutch rule, slowly leaving the lands of the Kaap Colony and heading both east and north into the African wilds. The ones heading east are encroaching on Zulu territory, however, and it seems there is no end to them. They possess firearms, but we have the superior manpower... and all our chiefs agree on one thing: if we do not do something about the Steenkoolers now, they will dominate our territory and turn the Zulu people into colonial subjects.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC98200;The Steenkoolers are descendants of German Frisian settlers in the eastern Kaap Colony, and they have in recent years begun to chafe under Dutch rule. More and more of them are leaving their farmsteads and moving to the east and the northeast, encroaching on territory traditionally ruled by the Xhosa and the Basotho. Conflict with those native peoples appears to be inevitable, as perhaps is conflict with the Steenkoolers themselves, should we allow any lands they claim to remain independent. As far as the Dutch government is concerned, the Steenkoolers are Dutch subjects, no matter where they go.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC98105;Cuban sugar mill owner Carlos Manuel de Céspedes has issued the 'Grito de Yara', the 'Cry of Yara', declaring Cuban independence from $COUNTRY$ and freedom for his slaves. The man has many followers, and his call has spread rapidly throughout the colony.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98100;The treatment of slaves in Cuba has become increasingly harsh after recent unrest, culminating in the so-called 'Ladder Conspiracy' which relates to a method of torture involving tying a slave to a ladder and whipping them until they confess or die. Reformists in the colony have been calling for a change in Spanish policy and an end to the slave trade there. Failure to do so could result in more uprisings, but bowing to such pressure could have serious repercussions back home.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98008;A group of Czech radical democrats attempted to overthrow the government in a coup. They were unsuccessful, but their actions have inspired their countrymen to rise up in demand of freedom.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98007;There has been general discontent among the Hungarians, and a group of young revolutionaries have appeared to demand a number of concessions including freedom of the press. Giving them even that will not satisfy them completely, but it might give the government time to put down this rebellion before it begins.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98006;With 'the Great Trek' underway, many of the Steenkoolers are eager to leave the Kaap Colony behind and travel to either the Obervahl or the Tusstrom where they feel they will be free to pursue their own interests.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98005;We have been approached by $FROMCOUNTRY_ADJ$ diplomats desperate for help in their war. Though they are loathe to do so, they are asking for $COUNTRY_ADJ$ protection. If we provide it, it does mean we establish an excellent claim over their territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC98004;We control the entire Kaap Colony. There is no question now as to who the masters are in South Africa: the Steenkoolers. The time has come for us to end the war and unite the Steenkoolers under a single flag.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98003;The $FROMCOUNTRY_ADJ$ have gone to war with the Obervahl, and many Steenkoolers are fearful that $COUNTRY$ will surely be next. They are crying out to our government to ally with the Obervahlis and stop the $FROMCOUNTRY_ADJ$ from taking away their lands and their rights.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98002;Our colonial governor in South Africa declared an annexation of the Obervahl via special warrant several years ago, one that the Steenkoolers have stubbornly resisted. Both Obervahl and the Tusstrom have considerable resources which would be of value to $COUNTRY$, and we must consider the idea that keeping them out of the hands of competitors for African dominance is just as much reason to annex them as using those resources for our ourselves. The Steenkooler resistance has proven embarrasing. If we do not answer this with force, it will make the $COUNTRY_ADJ$ look weak to the world.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC98001;The time has come to consider joining the South African union. ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98000;The Zulus have slaughtered a $COUNTRY_ADJ$ regiment that entered their territory without our authority. While we had not been seeking a war with the Zulus, now our hand is forced. We must either back down and apologize, or see this through to the bitter end.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97700;$COUNTRY_ADJ$ patriots have risen up in $FROMCOUNTRY$, and have gained control of the capital. They send word they wish to bring all our lost provinces back to $COUNTRY_ADJ$ control. Agreeing would mean risking war, but refusing would mean angering our people.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97681;The warmongers in the Japanese government are now demanding that Russia cede Sakhalin and the Kuril Islands entirely to them. To give up so much territory without a fight would make us look very weak, but Japan's might has grown tremendously in recent decades. Can we risk a war in the Pacific?;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC97680;Japan has quarreled with Russia before over the rule of Sakhalin Island. Now, our influence in China and Korea has led to renewed friction between our nations. The Line of Advantage dictates that we must extend our control over the whole of Sakhalin and establish a stronger northern border. But are we willing to risk war with a European power?;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC97679;After the recent murders of a number of $FROMCOUNTRY_ADJ$ sailors off the coast of Formosa, the $FROMCOUNTRY_ADJ$ government has delivered a demand: turn over the island, for the sake of their security, or it shall be war between $FROMCOUNTRY$ and $COUNTRY$. We know this is just an excuse for their militarist expansion... but can we stand up against their might?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97678;The recent murder of Japanese sailors off the coast of Formosa has given rise to a question within the $COUNTRY_ADJ$ government: should we use this excuse to step in and wrest control of the southern island? The Line of Advantage is clear, dictating that the land would be invaluable to our goals. But are we willing to risk such a war?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97677;Our nation's policy of the Line of Advantage dictates that we must expand our borders if we are to maintain security. Naturally, our most vulnerable point lies in neighbouring Korea. They must either be brought under our direct control or made into a vassal if $COUNTRY$ is to be kept safe. Already $COUNTRY_ADJ$ generals are clamoring for war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97676;Believing $COUNTRY$ to be weak, the hated Japanese have decided to strike at us and take control of our government. They shall find us a difficult target!;;;;;;;;;;;;x,,,,,,,,,
EVTDESC97675;The Chinese have fallen into warring factions, all but crumbling their power and leaving us an advantage we would be fools not to exploit. The Line of Advantage policy dictates that we should strike, and strike soon.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97674;The $COUNTRY_ADJ$ government has followed a policy of progress and westernization until now, hoping that advancing $COUNTRY$ to match the Western powers would keep us safe. We now see this is in error, and that only by an aggressive expansion of our borders can we hope to maintain the security of $COUNTRY$ proper.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97673;$COUNTRY$ has followed a militaristic path until now, determined to set ourselves against our neighbours in the interest of security-- while risking that security with dangerous wars. The new $COUNTRY_ADJ$ government has determined that this must change. We must follow a path of progress, and instead devote outselves to technology and westernization if we are to remain free and whole.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97670;The islands of Sakhalin and the Kurils are a natural extension of our holdings on Hokkaido, and we must seek to claim these places before the Russians do so first.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97666;Saigo Takamori is dead, some say he committed seppuku after receiving a wound, and the rebellion he inspired is now ended. To many, this was the last gasp of the ancient samurai… and a new way for $COUNTRY$ on the path of progress now lies ahead.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC97665;A growing dissatisfaction among the former samurai with the abolition of the han system and the resulting reduction in their personal prestige has crystallized in a rebellion. Led by one of the most prestigious samurai leaders of the former Satsuma Domain, Saigo Takamori, the rebellion has attracted a large number of followers and will be a severe challenge for the Japanese government to deal with.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97660;With the ascension of Emperor Taisho, whose poor health has prompted a shift in political power from Japan's old guard to the Imperial Diet, democratic parties are beginning to see their influence spread throughout the country. Though democratic tradition is not deeply rooted, the idea of enfranchisement as a right of the individual Japanese citizen has become far more broadly accepted. Students, university professors and journalists inspired by Western schools of thought have organized public demonstrations to demand new reforms.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC97652;The Tokugawa shogunate has once again asserted control over Japan. A bakufu messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our submission to direct rule from Edo.;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97651;Tokugawa clan forces have marched triumphantly into Kyoto, and the traitor daimyos have agreed to a permanent peace. The Bakumatsu has ended with the shogunate in control once again-- victory is ours!;;;;;;;;;;;;x,,,,,,,,,
EVTDESC97650;The Imperial palace at Kyoto has been occupied, and our daimyo allies are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Shogun his victory. If we are fortunate, the $COUNTRY_ADJ$ clan will not be wiped out by this unfortunate turn of events.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97648;While Kyoto has long been the capital of Japan, and home to the Imperial Court, the city of Edo has become the de facto capital-- for centuries it has been the center of shogunate power, as well as a cultural and administrative center. The Emperor will need to decide whether the court should move to Edo and create a new capital... or remain in Kyoto and revitalize it instead.;;;;;;;;;;;;x,,,,,,,
EVTDESC97647;Emperor Meiji has been restored to rule over Japan. An imperial messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our willing allegiance to the Emperor.;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97646;$COUNTRY_ADJ$ clan forces have marched triumphantly into Edo, and the Tokugawa shogunate has agreed to a permanent peace. For the first time since before the Sengoku, the Imperial Court now rules Japan once again. Victory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97645;The Edo palace has been occupied, and our loyal daimyo are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Emperor his victory. There is a place for the Tokugawa within the new order.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97642;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have declared they intend to see the emperor restored to rule over all of Japan. We have little choice, as they have forced our hand. Either we rise up against the Shogun now, or the Shogun will assume we are behind the rebellion even if we are not. The time has come to fight!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97641;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have seized control of the palace at Kyoto and declared they intend to see the emperor restored to rule over Japan. Word has it they have recruited fellow daimyo to stand with them in this traitorous war. We must issue a call to our allies and move at once!\n\n§RNOTE: To win this war, you must occupy Kyoto and the rebellion leader's capital. You must not allow Edo to become occupied, and you cannot White Peace. If you White Peace, you lose.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97640;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have declared they intend to see the emperor restored to rule over all of Japan. The $COUNTRY_ADJ$ must make a decision: do we throw in our support with the imperial court, or do we uphold our duty and support the shogun?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97637;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the fudai daimyo, perhaps seeking new allies. This is hardly unexpected, though the tozama agree this makes it clear that the shogunate is not the future of Japan.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97636;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the outsider tozama, perhaps seeking new allies. If so, this compounds injury with insult.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97635;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. Officials within the bakufu are urging that we seek allies among either the outsider tozama or the traditional fudai, to strengthen the shogunate's position. Approaching one means angering the other, of course, but it appears we have little choice.;;;;;;;;;;;;x,,,,,,
EVTDESC97630;There are some who believe that Emperor Komei was assassinated-- delivered a handkerchief laced with smallpox, perhaps by radicals who fear the possibility of compromise between the bakufu and the imperial court. No matter the truth, the death of the Emperor has placed the young Emperor Meiji upon the imperial throne and eliminated any chance of compromise.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97627;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, yet the shogunate refuses to compromise with the imperial court. Many are certain this will only speed up the coming conflict.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97626;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, and thus the bakufu has begun a compromise policy of Kobu Gattai-- a union of the bakufu and the imperial court. Some are seeing this as a sign of further weakness.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97625;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point. Many are urging that a policy of Kobu Gattai-- a union of the bakufu and the imperial court-- may be required.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC97624;The shogunate has taken a step in the right direction and appointed Tokugawa Iemochi as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the fudai daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the outsider tozama will have their influence in the bakufu kept to a minimum.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97623;Pandering once again to the fudai daimyo, all relatives and close allies within the bakufu, the child Iemochi has been appointed shogun-- instead of the more sensible candidate chosen by the tozama. It is becoming increasingly clear that a larger change is necessary. Perhaps the time has come for the Emperor to rule Japan, a single leader to bring the nation into this new era?;;;;;;;;;;;;x,,,,,,,
EVTDESC97622;Even though the fudai daimyo, the relatives and close allies of the Tokugawa clan, supported the appointment of young Iemochi as the new shogun following Iesada's death, instead the leader of the bakufu will be Yoshinobu... a candidate favored by the outsider tozama daimyo. The fudai are growing increasingly alarmed at the insidious influence of the tozama, and there is a stirring sentiment that perhaps the time has come for a grander change.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC97621;The shogunate has taken a step in the right direction and appointed Tokugawa Yoshinobu as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the tozama daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the tozama will be permitted more influence within the shogunate.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97620;Tokugawa Iesada, the 13th shogun of Japan, has died childless. This has begun a struggle within the bakufu to select a replacement. The southern tozama daimyo wish to see Tokugawa Yoshinobu become shogun, while the fudai daimyo and shogunate officials are more in favor of Tokugawa Iemochi-- even though he is still but a child. It seems certain that, no matter which candidate is victorious, the disaffected daimyo will see this as a loss of power and make trouble.;;;;;;;;;;;;x,,,,,
EVTDESC97618;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, and is a challenge to the shogunate's power. The $COUNTRY_ADJ$ clan must decide whether it supports the Emperor's edict or quietly opposes it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97617;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, is a challenge to the shogunate's power, and may serve to further incite rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97616;There has been an incident in $PROVINCENAME$ where samurai, acting under the political slogan of 'Sonno Joi', have committed violence against foreigners conducting business in $STATENAME$. The incident has affected the Tokugawa shogunate's relations with foreign powers, as well as incited locals into riot.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97615;'Revere the emperor and expel the barbarians!'\n\nThis is the slogan chanted by neo-confucian activists, reacting to the Tokugawa shogunate's opening of Japan to foreigners. There have been growing reports of violence all over the country, primarily against foreign visitors and statesmen but also against the shogunate itself. Each incident chips away at Tokugawa control over the daimyo and erodes relations with the western powers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
